Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Mini Caliber Robot or CSROV,As per Technical Specification,1,Nos,gso1emb,90
2,Explosive Vapour Detector EVD,As per Technical Specification,1,Nos,gso1emb,90
3,Rocket Wrench,As per Technical Specification,2,Nos,gso1emb,90
4,Dgital Electronic Sethoscope,As per Technical Specification,2,Nos,gso1emb,90
5,De Armour Disruptor,As per Technical Specification,2,Nos,gso1emb,90
6,Back Scatter X Ray Machine,As per Technical Specification,1,Nos,gso1emb,90
7,Triple Sensor Metal Detector,As per Technical Specification,1,Nos,gso1emb,90
8,Liquid Explosive detector,As per Technical Specification,1,Nos,gso1emb,90
9,Chemical Analyser,As per Technical Specification,1,Nos,gso1emb,90
10,Drone with Water Disrupter,As per Technical Specification,1,Nos,gso1emb,90
11,Drone with search and Explosive detection capability,As per Technical Specification,1,Nos,gso1emb,90
12,EOD 10 E NIJ,As per Technical Specification,1,Nos,gso1emb,90
